source_file_token,view,slice_id,frame_index,qc_valid,qc_reason,qc_ncc,qc_intensity_scale,qc_residual,rescale_status
,2CH,2ch_s10_7001,0,1,valid,0.9376707119708021,1.0526044492674986,0.17842437753144047,identity_without_rescale_tags
,2CH,2ch_s10_7001,1,1,valid,0.955523799213832,1.0266351014745605,0.15177787110782476,identity_without_rescale_tags
,2CH,2ch_s10_7001,2,1,valid,0.9698140387754928,1.017029746973703,0.12072007399988734,identity_without_rescale_tags
,2CH,2ch_s10_7001,3,1,valid,0.95476184554967,1.0131928910926287,0.1357268171839526,identity_without_rescale_tags
,2CH,2ch_s10_7001,4,1,valid,0.9566878492093254,1.0116731517509727,0.1396667273816867,identity_without_rescale_tags
,2CH,2ch_s10_7001,5,1,valid,0.9564032898606806,1.0050428758887973,0.1403584299774759,identity_without_rescale_tags
,2CH,2ch_s10_7001,6,1,valid,0.9527501876352833,1.0055658627087198,0.1421828002662756,identity_without_rescale_tags
,2CH,2ch_s10_7001,7,1,valid,0.9489091496665643,1.0006366032697338,0.1426043940763837,identity_without_rescale_tags
,2CH,2ch_s10_7001,8,1,valid,0.9573266256853566,1.0053475935828877,0.1353360581863327,identity_without_rescale_tags
,2CH,2ch_s10_7001,9,1,valid,0.9707798845321531,1.0,0.11624925331547435,identity_without_rescale_tags
,2CH,2ch_s10_7001,10,1,valid,0.952960092593146,1.0,0.1479075160413219,identity_without_rescale_tags
,2CH,2ch_s10_7001,11,1,valid,0.9412039049302375,1.0,0.17213007584656642,identity_without_rescale_tags
,2CH,2ch_s10_7001,12,1,valid,0.9300116644653721,1.0,0.19679638490663592,identity_without_rescale_tags
,2CH,2ch_s10_7001,13,1,valid,0.9272199010191036,1.0,0.19563364481397433,identity_without_rescale_tags
,2CH,2ch_s10_7001,14,1,valid,0.9122771976562989,0.9982618765892097,0.20593639369855293,identity_without_rescale_tags
,2CH,2ch_s10_7001,15,1,valid,0.9232003199114736,1.0,0.18941688217426172,identity_without_rescale_tags
,2CH,2ch_s10_7001,16,1,valid,0.9331936322595886,0.995222917823537,0.17897180295816115,identity_without_rescale_tags
,2CH,2ch_s10_7001,17,1,valid,0.9477137378780219,1.0,0.15462283473099175,identity_without_rescale_tags
,2CH,2ch_s10_7001,18,1,valid,0.9491441074323976,0.9949664287825684,0.14701571575559627,identity_without_rescale_tags
,2CH,2ch_s10_7001,19,1,valid,0.9539516084308846,0.9944717423859117,0.13753363387574224,identity_without_rescale_tags
,2CH,2ch_s10_7001,20,1,valid,0.9707592971935799,0.9931972789115646,0.1093914452297439,identity_without_rescale_tags
,2CH,2ch_s10_7001,21,1,valid,0.9701371568288095,0.9956928192291135,0.10800784231582151,identity_without_rescale_tags
